url,error
https://www.tops.co.th/en/thammachart-orange-shrimp-roec-0216740000006,URL was redirected to: https://www.tops.co.th/en/meat-and-seafood
https://www.tops.co.th/en/thammachart-japanese-seaweed-saladc-0216778000009,URL was redirected to: https://www.tops.co.th/en/meat-and-seafood
https://www.tops.co.th/en/viyacrab-colossal-pasteurized-crab-meatc-0000024968409,URL was redirected to: https://www.tops.co.th/en/meat-and-seafood
https://www.tops.co.th/en/candied-pecan-longan-honey-briocheb-0000048564960,URL was redirected to: https://www.tops.co.th/en/404
https://www.tops.co.th/en/thai-ooi-frozen-choshi-sabac-0000048199049,URL was redirected to: https://www.tops.co.th/en/meat-and-seafood
https://www.tops.co.th/en/my-choice-cheese-garlic-bunb-0000048496636,URL was redirected to: https://www.tops.co.th/en/fresh-food-bakery
https://www.tops.co.th/en/cubic-sandwich-charcoal-bread-360gc-8858894100328,URL was redirected to: https://www.tops.co.th/en/fresh-food-bakery
https://www.tops.co.th/en/labeyrie-mini-blinis-foie-gras-168gc-3292070100804,URL was redirected to: https://www.tops.co.th/en/fresh-food-bakery
https://www.tops.co.th/en/d-plus-red-bean-paste-filled-bun-90g-tol-8859290400036,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/take-me-home-heirloom-tomato-200gc-0000039680075,URL was redirected to: https://www.tops.co.th/en/fruit-and-vegetables
https://www.tops.co.th/en/betagro-marinated-ground-pork-300gc-0000048425667,URL was redirected to: https://www.tops.co.th/en/meat-and-seafood
https://www.tops.co.th/en/s-pure-sukiyaki-pork-500gc-0000038377167,URL was redirected to: https://www.tops.co.th/en/meat-and-seafood
https://www.tops.co.th/en/healthiful-spaghetti-with-plant-based-meatballs-230g-8853474073092,"Message: 
 Element {//div[@class = ""product-Details-name""]} was not present after 2 seconds!
"
https://www.tops.co.th/en/my-choice-lemon-custard-muffinb-0000048545945,URL was redirected to: https://www.tops.co.th/en/fresh-food-bakery
https://www.tops.co.th/en/132245-my-choice-coconut-and-ginko-pieb-0000024934350,URL was redirected to: https://www.tops.co.th/en/404
https://www.tops.co.th/en/sukishi-cabbage-kimchi-150g-8859242900010,URL was redirected to: https://www.tops.co.th/en/404
